66.249.66.128	03/Jun/2018:08:33:45	/done/69e8c9ee-6dc2-48a1-8f29-1471970232c7
66.249.66.159	03/Jun/2018:08:33:53	/static/css/demo.css
66.249.66.130	03/Jun/2018:08:46:05	/static/css/owl.carousel.css
66.249.66.3	03/Jun/2018:09:35:40	/robots.txt
66.249.66.7	03/Jun/2018:09:35:40	/
66.249.66.3	03/Jun/2018:09:35:48	/static/css/bootstrap.min.css
66.249.66.214	03/Jun/2018:10:56:12	/robots.txt
66.249.66.210	03/Jun/2018:10:56:12	/static/css/slick.css
66.249.66.212	03/Jun/2018:10:56:13	/static/css/magnific-popup.css
66.249.66.212	03/Jun/2018:10:56:13	/static/js/jquery-2.2.4.min.js
66.249.66.212	03/Jun/2018:10:56:14	/static/css/style.css
66.249.66.214	03/Jun/2018:10:56:14	/static/css/bootstrap.css
66.249.66.212	03/Jun/2018:10:56:15	/static/css/particles.css
66.249.66.210	03/Jun/2018:10:56:15	/static/css/fontawesome-all.min.css
66.249.66.15	03/Jun/2018:11:12:10	/robots.txt
66.249.66.19	03/Jun/2018:11:12:10	/
66.249.66.17	03/Jun/2018:11:12:14	/static/css/sticky-footer.css
66.249.66.17	03/Jun/2018:11:26:56	/
66.249.66.131	03/Jun/2018:11:47:07	/robots.txt
66.249.66.133	03/Jun/2018:11:47:07	/
66.249.66.131	03/Jun/2018:11:47:18	/static/css/sticky-footer.css
66.249.66.133	03/Jun/2018:11:47:19	/static/css/bootstrap.min.css
66.249.66.78	03/Jun/2018:12:43:22	/robots.txt
66.249.66.78	03/Jun/2018:12:43:22	/
66.249.66.133	03/Jun/2018:12:53:30	/robots.txt
66.249.66.212	03/Jun/2018:12:53:30	/robots.txt
66.249.66.131	03/Jun/2018:12:53:30	/
66.249.66.212	03/Jun/2018:12:53:56	/static/js/owl-carousel.min.js
66.249.66.212	03/Jun/2018:12:53:57	/static/css/themify-icons.css
66.249.66.210	03/Jun/2018:12:53:57	/static/css/style.css
66.249.66.212	03/Jun/2018:12:53:58	/static/css/particles.css
66.249.66.212	03/Jun/2018:12:53:58	/static/css/fontawesome-all.min.css
66.249.66.210	03/Jun/2018:12:53:58	/static/css/slick.css
66.249.66.210	03/Jun/2018:12:53:59	/static/css/bootstrap.css
