Is Duplicate	URL	Title	Description	H1	Canonical
No	http://seoshnik.top/	Блог Сеошника - Блог о SEO - Авторские статьи и переводы	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.		
No	http://seoshnik.top/category/seomoz	Автопереводы из блога SEOmoz	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Автопереводы из блога SEOmoz	
No	http://seoshnik.top/rezultaty-poiska-nulevogo-rezultata-dobro-pozhalovat-v-budushchee-kotoroe-my-dolzhny-byli-znat	Результаты поиска нулевого результата: Добро пожаловать в будущее, которое мы должны были знать. - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Результаты поиска нулевого результата: Добро пожаловать в будущее, которое мы должны были знать.	
No	http://seoshnik.top/faktor-ranzhirovaniia-google-kotoryi-vy-mozhete-vliiat-na-vtoroi-den-dnia-case-nbspstudy	Фактор ранжирования Google, который вы можете влиять на второй день дня [Case Study] - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Фактор ранжирования Google, который вы можете влиять на второй день дня [Case Study]	
No	http://seoshnik.top/mozcon-2018-pervonachalnaia-agenda	MozCon 2018: Первоначальная Агенда - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	MozCon 2018: Первоначальная Агенда	
No	http://seoshnik.top/kak-mobile-first-indexing-razrushaet-link-nbspgraph	Как Mobile-First Indexing разрушает Link Graph - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Как Mobile-First Indexing разрушает Link Graph	
No	http://seoshnik.top/kak-i-nezavisimo-ot-togo-investirovat-i-strukturirovat-internet-soobshchestva-whiteboard-nbspfriday	Как (и независимо от того) инвестировать и структурировать интернет-сообщества - Whiteboard Friday - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Как (и независимо от того) инвестировать и структурировать интернет-сообщества - Whiteboard Friday	
No	http://seoshnik.top/kak-sdelat-effektivnye-vysokokachestvennye-marketingovye-otchety-nbspdashboards	Как сделать эффективные, высококачественные маркетинговые отчеты Dashboards - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Как сделать эффективные, высококачественные маркетинговые отчеты Dashboards	
No	http://seoshnik.top/modnyi-god-v-obzore-nbsp2017	Модный год в обзоре 2017 - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Модный год в обзоре 2017	
No	http://seoshnik.top/obkhod-problemy-odnoi-formy-v-nbspunbounce	Обход проблемы «одной формы» в Unbounce - Блог Сеошника	Exa is fully responsive creative agency/freelancer portfolio HTML site template that looks great on any device.	Обход проблемы «одной формы» в Unbounce	
