URL	TITLE	H1	RESPONSE_TIME	LEVEL
https://rozetka.com.ua/	Интернет-магазин ROZETKA™: официальный сайт самого популярного онлайн-гипермаркета в Украине	not_found	0.15	1
https://rozetka.com.ua	Интернет магазин Rozetka.com.ua. Электроника, бытовая техника, одежда и обувь, товары для дома. Официальная гарантия. Доставка по всей Украине.	not_found	0.08	2
https://rozetka.com.ua/loyalty/	ROZETKA — Бонусный счёт	Активируйте свой бонусный счет!	0.35	2
https://rozetka.com.ua/service-centers/	ROZETKA — Сервисные центры	Сервисные центры	0.07	2
https://rozetka.com.ua/payments-and-deliveries/	Доставка и оплата	Доставка и оплата	0.05	2
https://rozetka.com.ua/credit/	Купить в кредит. Способ оформления кредита	Покупка в кредит	0.14	2
https://rozetka.com.ua/terms/	Условия использования сайта	Условия использования сайта	0.16	2
https://rozetka.com.ua/viber_helpcenter/	ROZETKA — viber_helpcenter	not_found	0.18	2
https://rozetka.com.ua/news-articles-promotions/promotions/161019_sp_intel.html	Акция! Суперцены на акционные геймерские ноутбуки на базе процессоров Intel® Core™ i5, Intel® Core™ i7! | Всегда выгодно только в Розетке	Акция! Суперцены на акционные геймерские ноутбуки на базе процессоров Intel® Core™ i5, Intel® Core™ i7!	0.06	2
https://rozetka.com.ua/contacts/	Контактная информация	Консультации и заказ по телефонам	0.05	2
https://rozetka.com.ua/faq/	Помощь	Вопросы и ответы	0.16	2
https://rozetka.com.ua/newseller/	ROZETKA — Страница регистрации продавца	Начните продавать Ваши
товары на Розетке уже сегодня!	0.05	2
https://rozetka.com.ua/null	ROZETKA — Ошибка 404. Страница не найдена	Страница не найдена	0.56	2
https://rozetka.com.ua/premium/	ROZETKA — ROZETKA Premium	not_found	0.19	2
https://rozetka.com.ua/jobs/	Вакансии компании Rozetka.ua	Работа что надо	0.18	2
https://rozetka.com.ua/promo/heater/	Позаботьтесь о тепле в доме! Скидки до 30% на обогреватели	not_found	0.23	2
https://rozetka.com.ua/novogodniy-dekor/c368610/	Новогодний декор - ROZETKA | Купить новогодние украшения для дома в Киеве: цены, отзывы	Новогодний декор	0.15	2
https://rozetka.com.ua/certificates/	ROZETKA — Сертификаты	Подарочные сертификаты	0.27	2
https://rozetka.com.ua/about/	О нас	О нас	0.09	2
https://rozetka.com.ua/warranty/	Гарантия и сервисное обслуживание в ROZETKA	Гарантия и сервисное обслуживание	0.18	2
https://rozetka.com.ua/news-articles-promotions/promotions/lego_30_131119_skidki.html	Акция! Скидки от 30% на топовые наборы LEGO®! | Всегда выгодно только в Розетке	Акция! Скидки от 30% на топовые наборы LEGO®!	0.04	2
https://rozetka.com.ua/promo/cybermonday/	Киберпонедельник до -60%	not_found	0.05	2
https://rozetka.com.ua/partnership/	Как стать новым партнером компании «Розетка»	Как стать новым партнером компании «Розетка»	0.04	2
https://rozetka.com.ua/bonuses/	ROZETKA — Товары с бонусами	not_found	1.48	3
https://rozetka.com.ua/news-articles-promotions/news/kommentarii_otzivy.html	Правила публикации комментариев и отзывов пользователей на сайте Rozetka.ua. Новости интернет-магазина — ROZETKA	Правила публикации комментариев и отзывов пользователей на сайте Rozetka.ua	0.05	3
https://rozetka.com.ua/feedbackbonuses	ROZETKA — Бонусы за отзывы	not_found	8.88	3
https://rozetka.com.ua/all-categories-goods/	ROZETKA — Все категории товаров	Все категории товаров	0.05	3
https://rozetka.com.ua/service-centers/lg/	ROZETKA — LG | Сервисные центры	Сервисные центры	0.97	3
https://rozetka.com.ua/promo/cybermonday	Киберпонедельник до -60%	not_found	0.11	3
https://rozetka.com.ua/tovary-dlya-biznesa/c4627851/	Товары для бизнеса - ROZETKA | Купить товары для бизнеса в Киеве: цена, отзывы, продажа	Товары для бизнеса	0.52	3
https://rozetka.com.ua/krasota-i-zdorovje/c4629305/	Красота и здоровье - ROZETKA | Косметические средства для всей семьи, цены, отзывы	Красота и здоровье	0.16	3
https://rozetka.com.ua/service-centers/lenovo/	ROZETKA — Lenovo | Сервисные центры	Сервисные центры	0.99	3
https://rozetka.com.ua/service-centers/samsung/	ROZETKA — Samsung | Сервисные центры	Сервисные центры	0.97	3
https://rozetka.com.ua/alkoholnie-napitki-i-produkty/c4626923/	Алкогольные напитки и продукты питания - ROZETKA | Купить алкогольные напитки и продукты питания в Киеве: цена, отзывы, продажа	Алкогольные напитки и продукты	0.51	3
https://rozetka.com.ua/service-centers/apple/	ROZETKA — Apple | Сервисные центры	Сервисные центры	1.22	3
https://rozetka.com.ua/service-centers/philips/	ROZETKA — Philips | Сервисные центры	Сервисные центры	0.82	3
https://rozetka.com.ua/dacha-sad-ogorod/c2394297/	Дача, сад, огород - ROZETKA | Купить Дача, сад, огород в Киеве: цена, отзывы, продажа	Дача, сад, огород	0.04	3
https://rozetka.com.ua/service-centers/asus/	ROZETKA — Asus | Сервисные центры	Сервисные центры	0.9	3
https://rozetka.com.ua/santekhnika-i-remont/c4628418/	Сантехника и ремонт - ROZETKA | Купить Сантехника и ремонт в Киеве: цена, отзывы, продажа	Сантехника и ремонт	0.11	3
https://rozetka.com.ua/kids/c88468/	Товары для детей - ROZETKA | Товары для детей в Киеве, Харькове, Одессе, Львове: цена, отзывы, продажа в Украине	Товары для детей	0.37	3
https://rozetka.com.ua/computers-notebooks/c80253/	Компьютеры и ноутбуки - ROZETKA | Компьютеры и ноутбуки в Киеве, Харькове, Одессе, Львове: цена, отзывы, продажа, купить оптом компьютеры и ноутбуки	Компьютеры и ноутбуки	0.04	3
https://rozetka.com.ua/payments-transfers-travel/	ROZETKA — Путешествия, концерты, платежи и переводы	Путешествия, концерты, платежи и переводы	0.04	3
https://rozetka.com.ua/service-centers/canon/	ROZETKA — Canon | Сервисные центры	Сервисные центры	1.05	3
https://rozetka.com.ua/tovary-dlya-doma/c2394287/	Товары для дома - ROZETKA | Купить Товары для дома в Киеве: цена, отзывы, продажа	Товары для дома	0.26	3
https://rozetka.com.ua/office-school-books/c4625734/	Офис, школа, книги - ROZETKA | Канцелярия для школы и офиса или книги в Киеве	Офис, школа, книги	0.05	3
https://rozetka.com.ua/instrumenty-i-avtotovary/c4627858/	Инструменты и автотовары - ROZETKA | Купить Инструменты и автотовары в Киеве: цена, отзывы, продажа	Инструменты и автотовары	0.35	3
